id,name,club,profileLink
1670,Andric Sava - Pejovic Anastasija,Serbia,par.php?id=4543
1671,Bute Dragos-Adrian - Kristof Diana,Romania,par.php?id=3925
1672,Rech Jakub - Zgodova Natalie,Czech Republic,par.php?id=4544
1673,Kerekes Krisztián - Szakál Evelin Noémi,Valcer Táncstúdió,par.php?id=3331
1674,Teremi Roland - Perényi Zsófia Sára,Stúdió 2000 TSE,par.php?id=6096
1675,Gyalai Oszkár Noel - Matuska Lotti Luca,SZOLDANCE Táncsport Egyesület - L-DANCE GROUP Táncsport Egyesület,par.php?id=6493
1676,Tolnai Zétény Benedek - Beke Kata,Tornádó TSE Kozármisleny,par.php?id=5846
1677,Varga Miklós - Bartha Yvette,Ritmo Sporttánc Egyesület,par.php?id=1054
1678,Lenkey Gábor Károly - Robitschek Hanna,DanceLand TáncSport Sportegyesület,par.php?id=3375
1679,Pilván Zsolt - Bodnár Izabell,EXCELLENCE Tánc Sportegyesület,par.php?id=6291
1680,Szarka Ágoston Szilárd - Bajáky Zsanna,Miskolcz-Revital Táncsport Egyesület,par.php?id=3195
1681,Rácz Norbert - Szász Barbara,Spirit Tánc Sport Egyesület - Freetime Táncsport Egyesület,par.php?id=5838
1682,Ábrám Dominik - Markos Nikol,OPCIÓ Kft - ZugloDance - Botafogo Táncegyüttes,par.php?id=6442
1683,Geicsnek Ádám - Manczúr Ivett,Oktogon Tánc Centrum Egyesület,par.php?id=5514
1684,Kővári Dominik - Gróf Dalma Krisztina,Lorigo Táncsport Egyesület,par.php?id=2298
1685,Lekly Dominik - Balogh Rebeka,Oktogon Tánccentrum,par.php?id=2925
1686,Szőke Gábor Sándor - Papp Éva Dorina,Érdi Táncsport Egyesület,par.php?id=2845
1687,Jahni Bálint - Kárász Júlia,C&M Dance Studio Tánc Sport Egyesület,par.php?id=3330
1688,Mihályfi Csaba - Csenki Rebeka,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=2630
1689,Mészáros Máté Imre - Friedrich Franciska,JoyDance Táncsport Egyesület,par.php?id=2379
1690,Kenéz Bence Kende - Együd Izabella,Oktogon Tánccentrum,par.php?id=3119
1691,Zeman Jaroslav - Zemanova Petra,Czech Republic,par.php?id=3708
1692,Cesonis Stanislovas - Jurciukoniene Ramune,Lithuania,par.php?id=3709
1693,Frtus Igor - Frtusova Beata,Slovakia,par.php?id=3710
1694,Mikulka Josef - Mikulkova Marie,Czech Republic,par.php?id=3711
1695,Cinybulk Jiri - Krejcova Vera,Czech Republic,par.php?id=3712
1696,Herman Bianka -,H-Dance Tánc-Sport Egyesület,par.php?id=7518
1697,Sólya Réka -,PRO-ART ELIT Táncakadémia Kulturális és Sport Egyesület,par.php?id=7519
1698,Kovács Liza Panna -,Miskolcz-Revital TSE,par.php?id=7469
1699,Tar Viola -,H-Dance Tánc-Sport Egyesület,par.php?id=7517
1700,Király Nóra -,Freetime TáncSport Egyesület,par.php?id=7289
1701,Molnár Lívia -,Miskolcz-Revital TSE,par.php?id=7362
1702,Fekete Borbála Anna -,Freetime Táncsport Egyesület,par.php?id=7445
1703,Hrivnyák Hanga Regina -,Dance Square Sportegyesület,par.php?id=7456
1704,Faddi Gréta -,H-Dance Tánc-Sport Egyesület,par.php?id=7515
1705,Király Lilla -,Dance Universe Tánc Sportegyesület,par.php?id=6623
1706,Kupa Norbert Krisztián - Szabó Bernadett Etelka,Papiron Szeged Versenytáncklub Egyesület,par.php?id=6034
1707,Marinović Franco - Hrman Stefani,Croatia,par.php?id=6313
1708,Tumó Roland - Kiss Flamina Hanna,Ametiszt Táncsport Egyesület,par.php?id=6106
1709,Pohli Gergely - Pohli-Tóth Kinga,SZIGO Kulturális Táncsport Egyesület,par.php?id=6162
1710,Fekete Gábor  - Fodor Viktória Ildikó,Szilver Táncsport Egyesület,par.php?id=2095
1711,Péter -Szabó Donát - Gendur Kíra,Stúdió 2000 TSE,par.php?id=2043
1712,Patai Patrik Ferenc - Dankó Jázmin Judit,Forma Táncsport Egyesület,par.php?id=6383
1713,Sós Martin - Fruzsa Kata,SZILVER TSE,par.php?id=1726
1714,Dobos Attila - Pinka Vivien,SZILVER TSE,par.php?id=1727
1715,Homonnai Bence - Orendás Luca,Lehel-Melody TSE,par.php?id=354
1716,Kiss Bence - Papp Renáta,Lehel-Melody TSE,par.php?id=355
1717,Sebestyén Zsolt - Madarasi Emma,Lehel-Melody TSE,par.php?id=1728
1718,Stomfai Dániel - Török Rebeka,Lehel-Melody TSE,par.php?id=1729
1719,Hoffer Lehel - Ivony Antónia,Lehel-Melody TSE,par.php?id=1730
1720,Kraszkó Tamás - Kraszkó Zsanett,Kner Táncsport Egyesület - Nyíri Lajos Táncsport Egyesület,par.php?id=252
1721,Zerjav Miha - Karcagi Laura,Valcer Táncstúdió - Stúdió 2000 TSE,par.php?id=3325
1722,Nam Gi Yong - Shin Nara,Korea,par.php?id=4866
1723,Nikishin Vladislav - Golubeva Polina,Russian Federation,par.php?id=3902
1724,Taormina Vincenzo - Messina Floriana,Italy,par.php?id=3517
1725,Sergey Katkov - Daria Antiufieva,Russian Federation,par.php?id=4867
1726,Marchenko Dmitry - Rybalko Anastasia,Azerbaijan,par.php?id=3907
1727,Barden Brodie - Fonseka Lana Skrgic- de,Australia,par.php?id=4862
1728,Iorgov Oleksandr - Mityeva Maryna,Ukraine,par.php?id=4868
1729,Nam GiHyeon - Kim Jisu,Korea,par.php?id=4869
1730,Saoulidis Alexandros - Orha Andreea Alexandra,Greece,par.php?id=4571
1731,Williamson Earle - Myshko Veronika,Ukraine,par.php?id=4857
1732,Pekunov Akim - Kastelic Masa,Slovenia,par.php?id=3918
1733,Petcu Andrei - Barna Nicole Vanessa,Botafogo Táncegyüttes - Claudius Táncsport Egyesület,par.php?id=4841
1734,Kurinec Radovan - Lencesova Eliska,Slovakia,par.php?id=4870
1735,Masaryk Vaclav - Chovancikova Klara,Czech Republic,par.php?id=4562
1736,Dermentli Oleksandr - Virshubska Mariia,Ukraine,par.php?id=4871
1737,Gervasi Marco - Törőcsik Tímea,DanceStation Táncsport Egyesület,par.php?id=3749
1738,Obona Jaroslav - Antochshuk Olessya,Slovakia,par.php?id=4872
1739,Pellei Mihály - Tóth Enikő,Pro-Art Táncstúdió,par.php?id=3379
1740,Zilahi Szabolcs György - Gede Andrea,DanceStation Táncsport Egyesület - Szilver Táncsport Egyesület,par.php?id=3191
1741,Csorba Mate - Markuss Gabriela,Slovakia,par.php?id=4873
1742,Novák István - Sebesi Daniella,Pro-Art Táncstúdió,par.php?id=2803
1743,Nowoswiat Mikolaj - Samek Magdalena,Poland,par.php?id=4874
1744,Algieri Alessandro - Triggianese Alessia,Italy,par.php?id=4875
1745,Piekarski Lukasz - Sneek Larissa,Netherlands,par.php?id=4876
1746,Cipar Dominik - Kozusnikova Dominika,Slovakia,par.php?id=3523
1747,Szabó Ádám - Csofcsics Csenge,Stúdió 2000 TSE,par.php?id=4586
1748,Gáspár Patrik - Szondi Fanni,Valcer Táncstúdió,par.php?id=2855
1749,Ádám Csaba - Ács Nóra,Slovakia,par.php?id=2743
1750,Bánáti Marcell - Józsa Janka,iDanceStudio KTSE - Ritmo Sporttánc Egyesület,par.php?id=4790
1751,Gogh Mate - Elo Franciska,Slovakia,par.php?id=4572
1752,Hulovskyy Arkadiy - Lendel Anastasiya,Ukraine,par.php?id=4302
1753,Kopec Casper - Trepa Magdalena,Austria,par.php?id=3687
1754,Steindl David - Kager Lydia,Austria,par.php?id=3038
1755,Hajek Jiri - Koutna Karolina,Czech Republic,par.php?id=3532
1756,Reikl Gabriel - Oesterreicher Julia,Austria,par.php?id=4877
1757,Opichal Tomas - Manaskova Monika,Czech Republic,par.php?id=4878
1758,Dunai Bence - Horváth Petra Vanda,Fulldance Táncsport Egyesület,par.php?id=2847
1759,Haider Patrick - Kaltenbock Tanja,Austria,par.php?id=4879
1760,Fisar Tomas - Mullerova Marketa,Czech Republic,par.php?id=4880
1761,Lorenc Dominik - Paczuk Adriana,Poland,par.php?id=4881
1762,Havir Jan - Cernikova Lucie,Czech Republic,par.php?id=4882
1763,Yuriev Oleksii - Yurieva Viktoriia,Ukraine,par.php?id=4883
1764,Márkus Erik Krisztián - Juhász Veronika,Szilver Táncsport Egyesület,par.php?id=3987
1765,Kajla Áron - Boros Rozina,Szilver Táncsport Egyesület - SZILVER Tánc Egyesület,par.php?id=7254
1766,Gál Dániel - Fülöp Diána Hanna,Szilver Táncsport Egyesület - Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=6996
1767,Szerencsi Bence Béla - Krizsán Blanka Orsolya,Valcer TáncSport Egyesület,par.php?id=7043
1768,Molnár Bence - Bugyi Noémi,Szilver Táncsport Egyesület,par.php?id=7057
1769,Bánáti Barnabás - Varga Liza,iDanceStudio KTSE - Pro-Art Táncstúdió,par.php?id=5168
1770,Rácz Ádám - Tatár Bianka,Flamenco 2001 TSE - Forma Táncsport Egyesület,par.php?id=5722
1771,Sisák Tamás Zoltán - Kristó Noémi,Papiron Szeged Versenytáncklub Egyesület - Szilver Táncsport Egyesület,par.php?id=5466
1772,Nagy Ferenc - Udvari Nelli,Spirit Tánc Sport Egyesület,par.php?id=5577
1773,Bangó Milán - Herczeg Dóra,Press Dance TSE,par.php?id=2165
1774,Peresztegi Patrik Csaba - Szeőke Ágota,Adria-Szigó KTSE,par.php?id=2445
1775,Kiss Boglárka Szonja -,Danza Táncsport Egyesület,par.php?id=7337
1776,Wiener Kata -,Freetime Táncsport Egyesület,par.php?id=7298
1777,Kustra Léna -,Szigo Kulturális TSE,par.php?id=7005
1778,Illés Nelli -,Kozármislenyi Tornádó Tánc Sport Klub,par.php?id=7146
1779,Gémes Leonóra Anna -,Sundance Tánc Sport Egyesület,par.php?id=7194
1780,Tatay Boglárka -,Kozármislenyi Tornádó Tánc Sport Klub,par.php?id=7145
1781,Stadlinger Lilla -,Kozármislenyi Tornádó Tánc Sport Klub,par.php?id=6748
1782,Brecska Ditta -,Kozármislenyi Tornádó Tánc Sport Klub,par.php?id=7212
1783,Bősz Laura -,Kozármislenyi Tornádó Tánc Sport Klub,par.php?id=7142
1784,Mihók Milla -,C&M TSE,par.php?id=4602
1785,Vajda Fanni -,C&M TSE,par.php?id=4603
1786,Hegedüs Kendra -,iDance TSE,par.php?id=4598
1787,Varga Sándor - Szeles Andrea,Havanna Táncstúdió Sportegyesület,par.php?id=2581
1788,Bandi Ferenc - Szondi Fanni,Valcer Táncstúdió,par.php?id=1581
1789,Schwartz Péter - Lucz Laura,Szilver Táncsport Egyesület,par.php?id=1483
1790,Oszlánczi Mihály Péter - Csatordai Viktória,Szilver Táncsport Egyesület,par.php?id=7439
1791,Feri László - Darida Andrea,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=5792
1792,Orgovan Ernestin - Orgovan Carmen,Romania,par.php?id=7219
1793,Táczi László - Tácziné Bartos Barbara,Laguna KTSE,par.php?id=1778
1794,Tóth Bence Ákos - Karcagi Laura,Kner Táncsport Egyesület-Stúdió 2000 TSE,par.php?id=964
1795,Forgách György - Sipos Viktória,Fenomén TáncSport Egyesület - Oktogon Tánccentrum,par.php?id=198
1796,Bögre János - Ács Nóra,Kner Táncsport Egyesület-Stúdió 2000 TSE,par.php?id=202
1797,Farkas Ádám - Laskovics Petra,Claudius Táncsport Egyesület - Lorigo Táncsport Egyesület,par.php?id=208
1798,Márki Norbert - Balogh Nikolett Evelin,Kner Táncsport Egyesület - Flamenco 2001 TSE,par.php?id=205
1799,Pop Vlad Alex - Drahos Fanni,Brilli-Art Studio Közhasznú Táncsport Egyesület - Quality Dance TSE,par.php?id=958
1800,Oroszlán Krisztián - Kovács Klára Nikoletta,Stúdió 2000 TSE - Pro-Art Táncstúdió,par.php?id=384
1801,Fóra Kamilló Dominik - Lévai Doroti,Oktogon Tánccentrum,par.php?id=1408
1802,Néber Árpád Balázs - Karajos Judit,Stúdió 2000 TSE,par.php?id=1515
1803,Reck Tibor - Magisztrák Barbara Anna,Botafogo Táncegyüttes,par.php?id=1516
1804,Vámos Benedek - Varga Natasa,Savaria Táncsport Egyesület,par.php?id=3809
1805,Koroknai Roland - Pék Kata Dóra,Savaria Táncsport Egyesület,par.php?id=3807
1806,Horváth Máté - Szekér Johanna Erika,Savaria Táncsport Egyesület,par.php?id=3811
1807,Szűcs Dávid - Turkevics Bogdana,Szabolcs Diáksport Egyesület,par.php?id=4830
1808,Kovács-Kalic Károly Péter - Balogh Zsófia,Spirit Tánc Sport Egyesület,par.php?id=4823
1809,Rischák Balázs - Dajka Csenge,Szilver Táncsport Egyesület,par.php?id=6
1810,Maczkó Márk Miklós - Csorba Viktória,Miskolcz-Revital TSE,par.php?id=3398
1811,Nyilas Dániel - Szabó Karolina Veronika,Dance Express Tánc Sport Egyesület,par.php?id=4647
1812,Rozsnyai Márton - Kacsák Brigitta,INFINITY DANCE COMPANY TSE,par.php?id=5485
1813,Tálosi Dóra -,Eraklin Táncklub Egyesület,par.php?id=7154
1814,Piroska Dorottya Anna -,Savaria Táncsport Egyesület,par.php?id=7148
1815,Gigler Letti -,Eraklin Táncklub Egyesület,par.php?id=7290
1816,Bencze István - Kilin Dóra,DanceStation TáncSport Egyesület,par.php?id=19
1817,Tábori Ármin - Dézsy Klaudia Klára,DanceStation TáncSport Egyesület,par.php?id=20
1818,Urbán Tamás - Répás Szilvia,DanceStation TáncSport Egyesület,par.php?id=21
1819,Bődi Dénes - Szepesi Lilla,Szilver Táncsport Egyesület,par.php?id=22
1820,Bandi Ferenc - Szabó Patrícia Gréta,Valcer Táncstúdió,par.php?id=24
1821,Vígh András - Hornyák Zsófia,Ködmön Társastánc SE,par.php?id=25
1822,Szabó Gábor Ádám - Bense Krisztina,Forma Táncsport Egyesület,par.php?id=26
1823,Pomaházi Tamás - Várnai Zsófia,Adria-Szigó KTSE,par.php?id=31
1824,Győrbíró Dávid Márk - Nichter Krisztina,Ametiszt Táncsport Egyesület,par.php?id=33
1825,Göller Barnabás Gábor - Lekszikov Dóra,Eraklin Táncklub Egyesület,par.php?id=36
1826,Marton Zoltán István - Farkas Fédra Hanna,Spirit Tánc Sport Egyesület,par.php?id=5820
1827,Lakatos Ádám - Spakovszky Sára,Dance Universe Tánc Sportegyesület,par.php?id=5431
1828,Papos Martin Dávid - Dunai Klára,Szilver Táncsport Egyesület,par.php?id=5772
1829,Pocei  Patrick - Birta  Maya,Romania,par.php?id=7449
1830,Rejtő Máté - Déri Aliz,Lorigo Táncsport Egyesület,par.php?id=7314
1831,Nyári Kristóf - Lengyel Kamilla,Stúdió 2000 TSE,par.php?id=7370
1832,Tóth Péter - Klecker Lara,Quality Dance TSE,par.php?id=4361
1833,Kálmán Bálint - Németh Nikolett,Gála Társastáncklub Egyesület,par.php?id=2777
1834,Balogh Gergely - Sík Veronika,C&M Dance Studio Tánc Sport Egyesület,par.php?id=2769
1835,Majer Tamás Roland - Farkas Enikő,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=3390
1836,Varga András - Lipcsei Laura,Szilver Táncsport Egyesület,par.php?id=4835
1837,Süle Zsombor - Szél Anna Csenge,Szilver Táncsport Egyesület,par.php?id=2749
1838,Jan Plachy - Kőmives Lara,Spirit Tánc Sport Egyesület,par.php?id=7014
1839,Marton László - Dorogi Edina Anna,Szilver Táncsport Egyesület,par.php?id=6454
1840,Kincses Barnabás - Dávid Dóra,Ritmo Sporttánc Egyesület,par.php?id=5625
1841,Ács Máté - Molnár Petra,Botafogo Táncegyüttes,par.php?id=2811
1842,Labancz Gábor - Koczó Florina Kiara,Botafogo Táncegyüttes - Goldance Táncsport Egyesület,par.php?id=2571
1843,Árva-Kis Hanga -,Dance Universe Tánc Sportegyesület,par.php?id=6659
1844,Feleki Zsófi -,Dance Universe Tánc Sportegyesület,par.php?id=6658
1845,Széles Abigél -,Dance Universe Tánc Sportegyesület,par.php?id=6656
1846,Ökrös Panna -,Dance Universe Tánc Sportegyesület,par.php?id=6657
1847,Somogyi Levente - Hajdu Hanna,Érdi Táncsport Egyesület,par.php?id=6138
1848,Borsos Ádám - Tóth-Lengyel Dalma,Gála Társastáncklub Egyesület,par.php?id=5529
1849,Mészáros Dávid Lajos - Reiter Léna,SZIGO Kulturális Táncsport Egyesület,par.php?id=4472
1850,Dzsupin Ádám - Solymos Ildikó,Quality Dance TSE,par.php?id=4354
1851,Geleta Alex Dávid - Bende Cintia,Quality Dance TSE,par.php?id=5232
1852,Bognár Balázs - Háklár Adél,Savaria Táncsport Egyesület,par.php?id=2166
1853,Szabó Gergő - Tóth Evelin,Gála Társastáncklub Egyesület,par.php?id=5358
1854,Horváth Patrik - Skrut Britney,Adria-Szigó KTSE,par.php?id=2912
1855,Szabó Ákos - Szabó Klaudia Ágnes,iDanceStudio KTSE,par.php?id=2933
1856,Párizs Richárd Dominik - Koós Enikő,Danza Táncsport Egyesület,par.php?id=5149
1857,Keresztes Gergő - Kocsis Zsanett,Sundance Tánc Sport Egyesület,par.php?id=5207
1858,Papp Gergely - Horváth Liza,Stúdió 2000 TSE,par.php?id=2540
1859,Váradi Balázs - Berendi Klaudia Szilvia,"Stúdió 2000 TSE - Freetime Kulturális, Szabadidő és Táncsport Egyesület",par.php?id=1670
1860,Motyovszki Milán - Karcagi Luca,Freetime Táncsport Egyesület  - Spirit Tánc Sport Egyesület,par.php?id=5806
1861,Ivánczi Benedek József - Ujcz-Méri Sára,Dance Express Tánc Sport Egyesület,par.php?id=2736
1862,Király István Gábor - Sötét Janka,Laguna KTSE,par.php?id=2774
1863,Takécs Júlia -,H-Dance Tánc-Sport Egyesület,par.php?id=7696
1864,Csányi-Tóth Bianka -,L-DANCE GROUP Táncsport Egyesület,par.php?id=7695
1865,Bujdosó Anna Kinga -,H-Dance Tánc-Sport Egyesület,par.php?id=7543
1866,Berta Barnabás - Krecsik Enikő,TAZE Tánc Sportegyesület,par.php?id=5660
1867,Deák András - Zölei Alexandra,Dance Express Tánc Sport Egyesület,par.php?id=5635
1868,Örkényi Zalán Hunor - Justyák Petra,Valcer TáncSport Egyesület,par.php?id=5810
1869,Tóth Kristóf - Gayer Luca Anna,El Paso SE,par.php?id=5654
1870,Verbói Zsombor - Orosz Blanka,Valcer TáncSport Egyesület,par.php?id=5694
1871,Szabó Zsombor Zoltán - Wang Jing Yi,Lehel-Melody TSE,par.php?id=5797
1872,Sovány Zsombor - Dömény Lili,SZIGO Kulturális Táncsport Egyesület,par.php?id=4769
1873,Száraz Zalán - Kuzma Panna Laura,Gála Társastáncklub Egyesület,par.php?id=5182
1874,Matkovics Gorán - Bíró Gabriella,Goldance Táncsport Egyesület,par.php?id=2699
1875,Kiss Mihály - Nagy Noémi,Oktogon Tánc Centrum Egyesület - Forma Táncsport Egyesület,par.php?id=5491
1876,Bekiarisz Márkosz - Illés Írisz,MARKÓ STÚDIÓ TÁNCSPORT ÉS TÁNCMŰVÉSZETI EGYESÜLET - INFINITY DANCE COMPANY TÁNCSPORT EGYESÜLET,par.php?id=6779
1877,Vasiloni Fabio - Jahanpour Nuria,Romania,par.php?id=6819
1878,Pusch Kevin - Józsa Janka,SZIGO Kulturális Táncsport Egyesület - Ritmo Sporttánc Egyesület,par.php?id=6173
1879,Hajdú Viktor - Juhász Jázmin,Kner Táncsport Egyesület - Szilver Táncsport Egyesület,par.php?id=6262
1880,Tóth-Markos Szabolcs - Mező Sophia Flóra,Valcer Táncstúdió,par.php?id=2359
1881,Éder Barnabás András - Kovács Anita,Papiron Szeged Versenytáncklub Egyesület,par.php?id=2361
1882,Oláh Levente Máté - Szabó Mónika,Szilver Táncsport Egyesület,par.php?id=2548
1883,Márián Gergő - Szabó Petra,Dance Universe Tánc Sportegyesület,par.php?id=2549
1884,Sisák Tamás - Fábrik Zita,Papiron Szeged Versenytáncklub Egyesület,par.php?id=2550
1885,Szegi Márk István - Szegi Andrea,Papiron Szeged Versenytáncklub Egyesület,par.php?id=1570
1886,Koszta Marcell - Keresztes Petra,PRO-ART ELIT Egyesület,par.php?id=5685
1887,Szilvási Patrik - Tátrai Réka,Laguna KTSE,par.php?id=2904
1888,Fabula Dominik Máté - Vincze Virág Róza,Alex Moore Táncsport Egyesület,par.php?id=2678
1889,Podt Tamás - Szabó Ágnes,Laguna KTSE,par.php?id=2905
1890,Kiss Tamás Bence - Bagóczki Ramóna Mária,Szilver Táncsport Egyesület,par.php?id=2642
1891,Landi Dominik Balázs - Mihók Milla,BNK Tánc Sportegyesület - C&M Dance Studio Tánc Sport Egyesület,par.php?id=5475
1892,Froner Bendegúz - Lábodi Laura,SZIGO Kulturális Táncsport Egyesület,par.php?id=5487
1893,Bocsor Levente - Dienes Borbála,C&M Dance Studio Tánc Sport Egyesület,par.php?id=4844
1894,Huszár Barnabás - Dárdai Sára Viola,SZIGO Kulturális Táncsport Egyesület,par.php?id=4360
1895,Novák Marcell - Szekér Johanna Erika,Lorigo Táncsport Egyesület,par.php?id=5159
1896,Győrfi László - Ardai Adrienn,Dancing Queen Sport Tánc Egyesület,par.php?id=2233
1897,Váncza Bence - Turschl Tímea Katalin,Danza Táncsport Egyesület,par.php?id=2321
1898,Kovács Balázs - Németh Emese,Oktogon Tánccentrum,par.php?id=2383
1899,Szombathelyi Márton - Cseri Auguszta,Platina Tánc Sportegyesület,par.php?id=59
1900,Kovács Ádám - Szalay Sára,Gála Társastáncklub Egyesület,par.php?id=57
1901,Melles Marcell - Nagy Dorina,Gála Társastáncklub Egyesület,par.php?id=1119
1902,Kovács Kristóf - Bodrogi Bianka,Gála Társastáncklub Egyesület,par.php?id=2137
1903,Vörös Miklós - Ferincz Lili,Lorigo Táncsport Egyesület,par.php?id=7050
1904,Kollárovics Bence - Mészáros Anna,Kapronczai AMI Pécs,par.php?id=895
1905,Török Kovács Patrik - Szalai Vivien,Kapronczai AMI Szigetvár,par.php?id=893
1906,Kiss Mihály - Farkas Mónika,Oktogon Tánccentrum,par.php?id=1363
1907,Krizmanics Ferenc - Máriné Patton Klára,Stúdió 2000 TSE - SZOLDANCE Táncsport Egyesület,par.php?id=932
1908,Szabó Ákos - Czakó Rebeka Tímea,Tornádó TSE Kozármisleny - Ametiszt Táncsport Egyesület,par.php?id=8
